epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1908,1.86917,12.9623,1.31226,0.00158,0.00391,0.00052,0.00016,1.63083,3.4856,1.39611,0.00325203,0.00325203,0.00325203
2,97.6513,1.38912,1.01418,0.78213,0.02918,0.02701,0.01219,0.00633,1.18617,0.95273,0.66646,0.00657885,0.00657885,0.00657885
3,145.401,1.07442,0.88579,0.46263,0.05598,0.05512,0.06586,0.03498,1.05636,0.98585,0.52753,0.00989906,0.00989906,0.00989906
4,193.451,0.89402,0.91897,0.29002,0.42923,0.20035,0.18846,0.11836,0.85548,1.00789,0.41661,0.0099703,0.0099703,0.0099703
5,246.182,0.7538,0.93633,0.22731,0.54785,0.18895,0.17948,0.09069,0.81283,0.86139,0.28078,0.0099604,0.0099604,0.0099604
6,295.718,0.84623,0.8029,0.23538,0.6838,0.18485,0.18198,0.08529,0.85218,0.87926,0.28949,0.0099505,0.0099505,0.0099505
7,343.964,0.78514,0.80302,0.21426,0.49941,0.28098,0.25216,0.15643,0.90988,0.70872,0.27667,0.0099406,0.0099406,0.0099406
8,391.98,0.82349,0.73096,0.22634,0.40918,0.39412,0.30639,0.16288,0.68325,0.86776,0.23675,0.0099307,0.0099307,0.0099307
9,439.951,0.88945,0.66847,0.23688,0.51066,0.33636,0.2679,0.15644,0.84942,0.65745,0.26487,0.0099208,0.0099208,0.0099208
10,487.779,0.81551,0.68108,0.21298,0.36015,0.47068,0.40614,0.21722,0.67233,0.76135,0.21672,0.0099109,0.0099109,0.0099109
11,535.787,0.76,0.70726,0.21134,0.5144,0.47383,0.39139,0.22693,0.72438,0.68063,0.24605,0.009901,0.009901,0.009901
12,583.795,0.76717,0.70852,0.20115,0.34302,0.29455,0.24957,0.11461,1.00607,0.65429,0.31784,0.0098911,0.0098911,0.0098911
13,631.675,0.86173,0.6569,0.22503,0.50126,0.48121,0.40568,0.23303,0.74277,0.66378,0.22924,0.0098812,0.0098812,0.0098812
14,679.69,0.77866,0.65882,0.19664,0.53068,0.39137,0.33994,0.17584,0.85108,0.67981,0.21934,0.0098713,0.0098713,0.0098713
15,727.703,0.74657,0.66298,0.1788,0.40296,0.34232,0.30678,0.15545,0.87235,0.69709,0.22704,0.0098614,0.0098614,0.0098614
16,775.562,0.80204,0.66472,0.185,0.55451,0.44453,0.41275,0.21999,0.69483,0.79016,0.2111,0.0098515,0.0098515,0.0098515
17,823.453,0.72134,0.6807,0.1764,0.57318,0.51865,0.48391,0.29119,0.56696,0.76752,0.16333,0.0098416,0.0098416,0.0098416
18,871.501,0.7968,0.6451,0.19353,0.47925,0.39476,0.35152,0.1898,0.85227,0.63252,0.21804,0.0098317,0.0098317,0.0098317
19,919.318,0.82102,0.63794,0.19088,0.61765,0.50972,0.47129,0.27119,0.56752,0.77826,0.17994,0.0098218,0.0098218,0.0098218
20,967.237,0.75146,0.65464,0.18223,0.54186,0.49367,0.42972,0.2337,0.70304,0.72612,0.19572,0.0098119,0.0098119,0.0098119
21,1014.92,0.80174,0.65447,0.1909,0.5672,0.4186,0.38166,0.20379,0.79642,0.65739,0.23338,0.009802,0.009802,0.009802
22,1062.77,0.7124,0.65201,0.17555,0.61508,0.5122,0.47007,0.28735,0.69794,0.63894,0.24111,0.0097921,0.0097921,0.0097921
23,1110.39,0.69557,0.65603,0.17181,0.69926,0.55267,0.54865,0.35223,0.55793,0.69428,0.19825,0.0097822,0.0097822,0.0097822
24,1158.5,0.72216,0.6615,0.18202,0.62424,0.5421,0.51644,0.30486,0.53589,0.76691,0.17836,0.0097723,0.0097723,0.0097723
25,1206.37,0.71361,0.66876,0.1841,0.41728,0.30721,0.27616,0.12206,0.91629,0.68116,0.2438,0.0097624,0.0097624,0.0097624
