epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7513,2.21641,3.51674,1.78124,0.25062,0.13316,0.00078,0.00028,3.90929,inf,25.743,0.0707317,0.00325203,0.00325203
2,19.6693,1.99031,2.7516,1.66759,0.50083,0.07845,0.00063,0.00015,4.3232,153.422,9.23809,0.0407252,0.00657885,0.00657885
3,27.8474,1.87554,2.54333,1.57108,0.00106,0.16427,0.00093,0.00025,3.86979,36.2291,6.63095,0.0107121,0.00989906,0.00989906
4,35.4011,1.75913,2.35115,1.46708,0.50275,0.00766,0.00173,0.00041,4.00621,16.0925,4.60118,0.0099703,0.0099703,0.0099703
5,44.669,1.72817,2.27252,1.46075,0.65447,0.03465,0.02037,0.0065,2.91692,24.4353,4.43155,0.0099604,0.0099604,0.0099604
6,52.3522,1.66181,2.17504,1.38776,0.65001,0.23421,0.18336,0.07567,1.88083,15.5971,1.81653,0.0099505,0.0099505,0.0099505
7,60.0541,1.60415,2.09578,1.33504,0.53673,0.29246,0.21224,0.10202,1.73496,5.94025,1.59149,0.0099406,0.0099406,0.0099406
8,67.741,1.52837,1.94743,1.29701,0.47956,0.02954,0.02044,0.00599,2.82548,4.77641,3.17806,0.0099307,0.0099307,0.0099307
9,75.3235,1.53506,1.85763,1.29476,0.63765,0.11955,0.09352,0.04319,2.77856,3.80126,3.76082,0.0099208,0.0099208,0.0099208
10,83.1471,1.5121,1.87554,1.28672,0.49789,0.29432,0.27581,0.14269,1.68555,4.58094,1.48693,0.0099109,0.0099109,0.0099109
11,90.86,1.48858,1.842,1.27551,0.47576,0.1249,0.06112,0.02056,3.11841,4.73607,4.94714,0.009901,0.009901,0.009901
12,98.5346,1.45318,1.84867,1.26073,0.61248,0.12457,0.06612,0.01758,3.07139,5.06532,4.81961,0.0098911,0.0098911,0.0098911
13,106.172,1.43957,1.81413,1.26022,0.25315,0.19927,0.12599,0.05379,2.06871,3.64366,2.0037,0.0098812,0.0098812,0.0098812
14,113.865,1.40091,1.67357,1.2295,0.48271,0.40104,0.35827,0.19,1.48423,1.83592,1.33315,0.0098713,0.0098713,0.0098713
15,121.587,1.40114,1.67845,1.23574,0.39181,0.44206,0.39407,0.1925,1.63034,1.88086,1.57127,0.0098614,0.0098614,0.0098614
16,129.373,1.40556,1.66447,1.23673,0.49614,0.27194,0.21515,0.10344,1.94802,2.59175,2.131,0.0098515,0.0098515,0.0098515
17,137.015,1.35144,1.58412,1.19957,0.36257,0.21877,0.17822,0.07775,2.22495,3.35148,2.0658,0.0098416,0.0098416,0.0098416
18,144.71,1.34799,1.59521,1.21063,0.4924,0.10704,0.07955,0.02459,2.77388,4.00685,3.7331,0.0098317,0.0098317,0.0098317
19,152.482,1.3511,1.55287,1.18908,0.36014,0.34128,0.30826,0.15816,1.76966,2.18235,1.52322,0.0098218,0.0098218,0.0098218
20,160.332,1.32696,1.54729,1.20114,0.12418,0.25083,0.1233,0.06271,2.00499,3.22714,2.05274,0.0098119,0.0098119,0.0098119
21,168.051,1.30675,1.58447,1.17978,0.39608,0.4614,0.44179,0.25148,1.4116,1.66838,1.28715,0.009802,0.009802,0.009802
22,175.925,1.28698,1.48145,1.16002,0.48439,0.23082,0.21158,0.10922,1.81236,2.67283,1.71988,0.0097921,0.0097921,0.0097921
23,183.627,1.2837,1.47312,1.15745,0.34512,0.25045,0.19097,0.08152,2.14712,2.83661,2.5972,0.0097822,0.0097822,0.0097822
24,191.418,1.31457,1.56486,1.19832,0.44009,0.19501,0.15446,0.05397,2.6686,3.22568,3.51282,0.0097723,0.0097723,0.0097723
25,199.063,1.29715,1.53531,1.168,0.49895,0.05282,0.04682,0.01578,2.88585,5.2592,3.1709,0.0097624,0.0097624,0.0097624
26,206.89,1.33688,1.54776,1.17954,0.25779,0.28604,0.20008,0.09724,1.73612,2.50016,1.67497,0.0097525,0.0097525,0.0097525
27,214.567,1.26975,1.4631,1.14497,0.4073,0.18593,0.14874,0.05949,2.46269,3.25473,3.08881,0.0097426,0.0097426,0.0097426
28,222.305,1.29253,1.46431,1.17255,0.32367,0.34488,0.26427,0.12584,1.91156,2.26871,1.8294,0.0097327,0.0097327,0.0097327
29,230.153,1.25194,1.4027,1.15375,0.46959,0.44726,0.428,0.24024,1.34828,1.77325,1.21394,0.0097228,0.0097228,0.0097228
30,237.842,1.22469,1.38997,1.13096,0.28702,0.28263,0.23724,0.1214,1.73073,2.75718,1.61717,0.0097129,0.0097129,0.0097129
31,245.6,1.22898,1.36688,1.12582,0.42054,0.13599,0.10439,0.03679,2.56718,3.7003,3.30192,0.009703,0.009703,0.009703
32,253.349,1.2499,1.3984,1.14978,0.37761,0.18323,0.08283,0.02982,2.67102,5.64121,3.73763,0.0096931,0.0096931,0.0096931
33,261.039,1.20629,1.32746,1.11872,0.43839,0.13489,0.12544,0.05947,2.21508,3.73314,2.22211,0.0096832,0.0096832,0.0096832
34,268.817,1.22594,1.37172,1.1315,0.46827,0.54141,0.49534,0.29692,1.28441,1.5472,1.19198,0.0096733,0.0096733,0.0096733
35,276.608,1.24034,1.39004,1.1259,0.62268,0.38245,0.46012,0.27906,1.37334,1.79116,1.25843,0.0096634,0.0096634,0.0096634
36,284.347,1.21915,1.28572,1.13012,0.50261,0.12289,0.1426,0.07092,2.24615,3.44002,2.63486,0.0096535,0.0096535,0.0096535
37,292.087,1.22999,1.34954,1.12455,0.36047,0.12223,0.06536,0.02898,2.58395,4.48803,2.81286,0.0096436,0.0096436,0.0096436
38,299.847,1.17353,1.25771,1.10968,0.3861,0.08645,0.05847,0.02715,3.0158,3.925,4.7377,0.0096337,0.0096337,0.0096337
39,307.69,1.22313,1.34425,1.1178,0.59952,0.53057,0.53566,0.33653,1.25309,1.37344,1.16434,0.0096238,0.0096238,0.0096238
40,315.416,1.19371,1.30386,1.09618,0.48884,0.23301,0.18437,0.08901,2.01763,2.71878,1.85634,0.0096139,0.0096139,0.0096139
41,323.248,1.16698,1.29613,1.08309,0.52269,0.57044,0.55073,0.33522,1.28795,1.36468,1.16969,0.009604,0.009604,0.009604
42,331.041,1.16553,1.26335,1.10001,0.40956,0.30114,0.26086,0.13098,1.71426,2.52966,1.51569,0.0095941,0.0095941,0.0095941
43,338.806,1.17915,1.24106,1.09852,0.41534,0.46876,0.40008,0.23272,1.43468,1.83794,1.29731,0.0095842,0.0095842,0.0095842
44,346.597,1.16222,1.2373,1.09318,0.52307,0.52004,0.50649,0.30357,1.34958,1.66173,1.18023,0.0095743,0.0095743,0.0095743
45,354.346,1.15049,1.25252,1.10105,0.39731,0.14334,0.13195,0.05748,2.60542,3.28131,3.4824,0.0095644,0.0095644,0.0095644
46,362.085,1.1289,1.26852,1.10044,0.33625,0.35178,0.3208,0.17198,1.77544,2.16377,1.80914,0.0095545,0.0095545,0.0095545
47,369.834,1.17114,1.28123,1.09812,0.30799,0.11585,0.07747,0.0353,2.96636,3.83667,4.89503,0.0095446,0.0095446,0.0095446
48,377.589,1.18105,1.2621,1.09531,0.23279,0.16978,0.0724,0.02742,2.39445,4.07095,2.83553,0.0095347,0.0095347,0.0095347
49,385.355,1.13798,1.20902,1.08587,0.55117,0.41264,0.44313,0.25027,1.51047,2.17627,1.36563,0.0095248,0.0095248,0.0095248
50,393.154,1.14047,1.1972,1.07983,0.49314,0.1874,0.18013,0.06557,2.59062,2.91329,3.88241,0.0095149,0.0095149,0.0095149
51,400.902,1.11523,1.1573,1.07473,0.23442,0.25925,0.16095,0.05937,2.48166,3.43489,2.96269,0.009505,0.009505,0.009505
52,408.686,1.1604,1.21779,1.10648,0.34318,0.2738,0.27749,0.11737,2.06573,2.35682,2.39129,0.0094951,0.0094951,0.0094951
53,416.499,1.14577,1.20665,1.079,0.5626,0.41752,0.43351,0.22504,1.65994,1.70842,1.64167,0.0094852,0.0094852,0.0094852
54,424.342,1.12222,1.17261,1.0722,0.61536,0.60094,0.60738,0.39414,1.12853,1.33231,1.0775,0.0094753,0.0094753,0.0094753
55,432.166,1.10172,1.191,1.0707,0.55145,0.28274,0.30295,0.14813,1.82479,2.8607,1.97473,0.0094654,0.0094654,0.0094654
56,440.029,1.14382,1.19952,1.07943,0.545,0.56037,0.56586,0.35174,1.23617,1.36684,1.12656,0.0094555,0.0094555,0.0094555
57,447.846,1.09264,1.11675,1.05469,0.58796,0.57403,0.60202,0.37869,1.12569,1.21746,1.0876,0.0094456,0.0094456,0.0094456
58,455.591,1.09995,1.13579,1.06516,0.47155,0.14643,0.13076,0.04948,2.64154,3.37261,3.67872,0.0094357,0.0094357,0.0094357
