epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1022,2.76451,4.39824,2.15561,0.00188,0.18698,0.00947,0.00335,2.76032,3.8564,2.15703,4.998e-05,4.998e-05,4.998e-05
2,33.6559,2.44178,4.2974,1.90958,0.0032,0.31729,0.03441,0.01456,2.12376,3.77428,1.55153,0.000108183,0.000108183,0.000108183
3,41.2,1.78025,3.98566,1.42811,0.00474,0.47161,0.04255,0.01561,1.84458,3.72571,1.38031,0.00016627,0.00016627,0.00016627
4,48.9459,1.56175,3.62767,1.29055,0.00569,0.54071,0.07498,0.03797,1.55411,3.59098,1.24752,0.000224242,0.000224242,0.000224242
5,56.429,1.45402,3.04912,1.22067,0.00619,0.54936,0.16673,0.09979,1.47722,3.34839,1.17893,0.000282098,0.000282098,0.000282098
6,64.1012,1.47357,2.51459,1.21481,0.97365,0.07312,0.14706,0.09568,1.53299,3.14722,1.27483,0.000339839,0.000339839,0.000339839
7,71.6487,1.4185,2.2434,1.20993,0.87376,0.08444,0.19856,0.12498,1.42876,2.94923,1.18607,0.000397465,0.000397465,0.000397465
8,79.1744,1.33752,2.03734,1.17886,0.82676,0.11574,0.14437,0.10033,1.42932,3.04728,1.21847,0.000454975,0.000454975,0.000454975
9,86.6514,1.29988,1.91118,1.1848,0.83098,0.06785,0.15868,0.08826,1.50163,3.01758,1.32505,0.00051237,0.00051237,0.00051237
10,94.1865,1.26676,1.74878,1.15392,0.92101,0.16552,0.28783,0.17169,1.47589,2.66015,1.29465,0.000569649,0.000569649,0.000569649
11,101.827,1.26492,1.73558,1.13627,0.90473,0.16301,0.32033,0.1791,1.46156,2.66267,1.27711,0.000626813,0.000626813,0.000626813
12,109.429,1.23093,1.69696,1.12909,0.8062,0.25013,0.34824,0.20739,1.44434,2.34693,1.22409,0.000683861,0.000683861,0.000683861
13,116.988,1.22679,1.62053,1.10815,0.75779,0.20013,0.27232,0.15585,1.4557,2.47019,1.28963,0.000740794,0.000740794,0.000740794
14,124.55,1.21498,1.59054,1.1162,0.65513,0.18105,0.23445,0.12201,1.53534,2.67038,1.37136,0.000797611,0.000797611,0.000797611
