epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6175,2.18704,4.26749,1.7355,0.00206,0.24556,0.03976,0.0198,2.22083,3.85117,1.89665,0.00325203,0.00325203,0.00325203
2,19.4113,1.59644,3.52781,1.31866,0.72076,0.10933,0.09439,0.04965,1.83068,3.01658,1.51626,0.00657885,0.00657885,0.00657885
3,27.1365,1.60306,2.67168,1.30632,0.6477,0.03324,0.00644,0.00173,4.17899,5.31802,4.57115,0.00989906,0.00989906,0.00989906
4,34.7907,1.58092,2.34665,1.29816,0.6512,0.16149,0.19176,0.10462,1.94064,2.72778,1.6098,0.0099703,0.0099703,0.0099703
5,42.718,1.55292,2.22074,1.2941,0.13455,0.28595,0.12873,0.05764,1.89124,6.91571,1.75098,0.0099604,0.0099604,0.0099604
6,50.4819,1.4757,2.0852,1.2492,0.32578,0.29623,0.20452,0.11232,1.88352,3.25191,1.50087,0.0099505,0.0099505,0.0099505
7,58.2092,1.41788,2.02187,1.21651,0.479,0.21481,0.15931,0.06603,2.03546,3.07209,2.00101,0.0099406,0.0099406,0.0099406
8,65.8503,1.36915,1.91537,1.18604,0.30491,0.25726,0.20972,0.10721,1.66575,2.68381,1.48088,0.0099307,0.0099307,0.0099307
9,73.5614,1.34769,1.81973,1.17779,0.53295,0.35897,0.40353,0.23527,1.39093,1.93273,1.22769,0.0099208,0.0099208,0.0099208
10,81.3105,1.32167,1.76353,1.16832,0.44323,0.44566,0.40534,0.22555,1.45797,1.89303,1.27005,0.0099109,0.0099109,0.0099109
11,89.0658,1.31678,1.7027,1.15712,0.45382,0.41997,0.33587,0.17668,1.45957,2.5441,1.29791,0.009901,0.009901,0.009901
12,96.7435,1.29918,1.71893,1.14298,0.55877,0.47566,0.45157,0.25576,1.33199,1.74508,1.19782,0.0098911,0.0098911,0.0098911
13,104.483,1.2771,1.71044,1.14042,0.54211,0.45059,0.47195,0.27063,1.31095,1.5714,1.19858,0.0098812,0.0098812,0.0098812
14,112.139,1.2278,1.54293,1.11351,0.46137,0.5257,0.46223,0.27055,1.36024,1.71979,1.20532,0.0098713,0.0098713,0.0098713
15,119.851,1.25563,1.56207,1.13459,0.58895,0.31908,0.32434,0.15151,1.71717,2.2333,1.60546,0.0098614,0.0098614,0.0098614
16,127.536,1.24238,1.5478,1.12862,0.28853,0.27536,0.17899,0.07451,2.11549,3.02716,2.17032,0.0098515,0.0098515,0.0098515
17,135.297,1.19109,1.48489,1.0929,0.31906,0.12889,0.10726,0.04557,2.269,3.23992,2.10193,0.0098416,0.0098416,0.0098416
18,143.016,1.20239,1.44235,1.09134,0.56597,0.56692,0.53073,0.30969,1.28062,1.50563,1.13229,0.0098317,0.0098317,0.0098317
19,150.818,1.22237,1.38957,1.10529,0.6186,0.55095,0.55517,0.35295,1.18027,1.62649,1.13442,0.0098218,0.0098218,0.0098218
20,158.523,1.17805,1.38786,1.10265,0.60092,0.57541,0.58298,0.36937,1.22806,1.41972,1.1161,0.0098119,0.0098119,0.0098119
21,166.265,1.1911,1.43266,1.0873,0.56773,0.57932,0.57602,0.3509,1.2653,1.7241,1.12953,0.009802,0.009802,0.009802
22,174.081,1.16925,1.34363,1.07282,0.59779,0.50571,0.50379,0.30807,1.2729,1.66742,1.11929,0.0097921,0.0097921,0.0097921
